ProblemSet,RavensProblem,Answer,Correct,Truth,Confidence,LatencySeconds,InputTokens,OutputTokens,ReasoningTokens,CostUSD,Rule,Error
Basic Problems B,Basic Problem B-01,2,1,2,0.9,4.87,3017,182,128,0.000000,All three visible cells contain an identical black square; the fourth cell must match this constant shape to complete the pattern.,
Basic Problems B,Basic Problem B-02,5,1,5,0.5,12.86,3017,509,448,0.000000,"Every cell contains the same figure, so the missing cell must show a plus inside a circle as in the other three cells.",
Basic Problems B,Basic Problem B-03,1,1,1,0.46,23.46,3017,1350,1280,0.000000,"Each row mirrors horizontally: the second image is the left-right reflection of the first, so the missing cell is the mirror of C (identical to B).",
Basic Problems B,Basic Problem B-04,1,0,3,0.41,76.53,3017,4547,4480,0.000000,"Shape rotates 90° clockwise across the row and 90° counter-clockwise down the column, giving the same orientation as cell A.",
Basic Problems B,Basic Problem B-05,4,1,4,0.78,50.24,3017,2459,2368,0.000000,"Each column keeps the same shape (triangles in column 1, squares in column 2) while moving from the top row to the bottom row flips the figure vertically; therefore B’s bottom-left black square becomes a top-left black square in the missing cell.",
Basic Problems B,Basic Problem B-06,5,1,5,0.55,47.6,3017,2782,2688,0.000000,"The second column repeats the diagonal of the first column but fills the triangle on the same side of that diagonal with black, while the second row flips the diagonal direction of the first row; therefore the missing cell must have the flipped (\) diagonal of C with the corresponding half shaded black.",
Basic Problems B,Basic Problem B-07,6,1,6,0.33,80.3,3017,4679,4608,0.000000,Each entry in the right-hand column is the corresponding entry in the left-hand column rotated 90° clockwise; therefore the answer is C rotated 90° clockwise.,
Basic Problems B,Basic Problem B-08,6,1,6,0.66,15.29,3017,587,512,0.000000,"Each row keeps the same black-white arrangement while the shape changes from circle on the left to square on the right, so the missing cell is a square with white left and black right halves.",
Basic Problems B,Basic Problem B-09,5,1,5,0.93,11.17,3017,520,448,0.000000,"Rows keep the same shape while changing from outline to filled across columns; columns keep the same fill style while changing shape down rows, so the missing cell must be a filled square.",
Basic Problems B,Basic Problem B-10,3,1,3,0.92,30.87,3017,1419,1344,0.000000,"Going right, the inner circle is removed and a hollow square is added; going down, a filled square is added. Combining both operations gives one circle enclosing a hollow square enclosing a filled square.",
Basic Problems B,Basic Problem B-11,1,1,1,0.74,14.27,3017,667,576,0.000000,"Rows keep the same outer shape (top: hearts, bottom: octagons) while columns control the presence of the inner diamond (left column: diamond present, right column: diamond absent), so the missing bottom-right cell must be an octagon without a diamond.",
Basic Problems B,Basic Problem B-12,1,1,1,0.34,119.62,3017,6723,6656,0.000000,"The number of concentric circles is reduced by two each time you move right or down in the matrix, so the missing cell must contain just one circle.",
Basic Problems C,Basic Problem C-01,1,0,3,0.46,45.39,4621,2370,2304,0.000000,"The number of concentric squares increases by one as you move down each row and across each column, so the missing cell must contain three nested squares.",
Basic Problems C,Basic Problem C-02,4,1,4,0.61,25.91,4621,1419,1344,0.000000,"The outline square increases one size step with every move rightward and with every move downward, so the bottom-right cell needs the next larger single outline square containing the same central filled square.",
Basic Problems C,Basic Problem C-03,4,1,4,0.77,40.5,4621,2118,2048,0.000000,"The number of diamonds in a cell equals (row number) × (column number), so the bottom-right cell needs 3 × 3 = 9 diamonds.",
Basic Problems C,Basic Problem C-04,8,1,8,0.73,27.11,4621,1424,1344,0.000000,"Moving right adds one circle to the horizontal row while moving down adds one circle to the vertical stack (forming rectangular grids), so the bottom-right cell must be a 3×3 grid of 9 circles.",
Basic Problems C,Basic Problem C-05,3,1,3,0.71,50.22,4621,3024,2944,0.000000,Each move to the right or downward adds one extra surrounding dot so counts increase by one in every row and column; therefore the bottom-right cell must show the star with five dots.,
Basic Problems C,Basic Problem C-06,7,1,7,0.46,60.66,4621,3397,3328,0.000000,"Width increases from left→right and height increases from top→bottom, so the bottom-right cell must have both maximum width and maximum height – a large square.",
Basic Problems C,Basic Problem C-07,2,1,2,0.9,61.38,4621,3169,3072,0.000000,"The circle’s position in each cell is the combination of its row (top, middle, bottom) and column (left, centre, right) coordinates, while the diamond always stays in the centre; the missing bottom-right cell therefore needs a centre diamond with the circle in the bottom-right corner.",
Basic Problems C,Basic Problem C-08,5,1,5,0.46,39.5,4621,2390,2304,0.000000,"Within each column the total number of squares stays the same while, moving downward, two more squares change from filled to outlined; thus column-3 goes from 0→2→4 outlined squares, so the missing cell must contain four outlined squares.",
Basic Problems C,Basic Problem C-09,-1,0,2,,134.36,4621,8000,8000,0.000000,,unparseable: 
Basic Problems C,Basic Problem C-10,7,1,7,0.83,61.0,4621,3252,3136,0.000000,"Within every column the figure in the 2nd row is made by duplicating the 1st-row figure vertically so that the copies touch, and the 3rd-row figure is made by duplicating them again but leaving a gap; applying this to column 3 requires two vertically separated copies of C placed side-by-side, i.e. four non-touching diamonds.",
Basic Problems C,Basic Problem C-11,4,1,4,0.63,44.36,4621,2326,2240,0.000000,"In every row the number of vertical diamonds equals 3-rowIndex and stays constant, while each step to the right adds one new diamond to the bottom row; thus the third column needs 3 bottom-row diamonds with no extra vertical ones.",
Basic Problems C,Basic Problem C-12,6,0,8,0.25,112.84,4621,5008,4928,0.000000,"In every row the third panel shows the union of the white squares that appear in the first two panels, so combining G and H must give the plus-shaped five-square figure, which is option 6.",
Basic Problems D,Basic Problem D-01,3,1,3,0.46,8.47,4621,278,192,0.000000,"Each row shows the same shape repeated, while each column must contain one star, one heart and one octagon, so the blank (row 3, column 3) must be the same outlined octagon as the other two in its row.",
Basic Problems D,Basic Problem D-02,1,1,1,0.93,11.25,4621,269,192,0.000000,"The three filled shapes (circle, diamond, triangle) form a 3×3 Latin square so each shape appears exactly once in every row and column, so the missing cell must be the filled circle.",
Basic Problems D,Basic Problem D-03,3,1,3,0.9,12.38,4621,599,512,0.000000,"Each row and column contains one panel with 1 shape (a circle), one with 2 shapes (triangle+circle) and one with 3 shapes (triangle+circle+square); the missing panel must be the remaining 1-shape circle.",
Basic Problems D,Basic Problem D-04,1,1,1,0.86,13.07,4621,412,320,0.000000,"Rows keep the same inner symbol (row 1 plus, row 2 star, row 3 heart) while columns keep the same outer border (column 1 circle, column 2 diamond, column 3 square); thus the missing cell is a heart inside a square.",
Basic Problems D,Basic Problem D-05,7,1,7,0.9,21.26,4621,936,832,0.000000,"In every row: cell 1 has a polygon inside a big circle, cell 2 swaps them (circle inside polygon), cell 3 keeps the polygon and replaces the big circle with two small outer circles; the polygon changes by row (square, diamond, octagon), so the missing cell is an octagon with two small circles.",
Basic Problems D,Basic Problem D-06,1,1,1,0.9,13.92,4621,733,640,0.000000,"Each row has 3, 2, then 1 concentric squares while the three inner symbols (circle, plus, triangle) form a Latin square so every row and column contains each symbol exactly once; thus the bottom-right cell must be the circle inside a single square.",
Basic Problems D,Basic Problem D-07,1,1,1,0.8,17.75,4621,1239,1152,0.000000,"Each row and column must use every centre shape (plus, square, heart) and every surround type (dots, circle outline, same-shape outline) exactly once; the empty cell therefore needs the only unused combination: a solid square with surrounding dots.",
Basic Problems D,Basic Problem D-08,4,1,4,0.88,16.12,4621,784,704,0.000000,"Each row contains the three shapes square, diamond, circle in cyclic order, and each column cycles the fill style filled → composite → outline; the third-row, third-column cell must therefore be a filled diamond.",
Basic Problems D,Basic Problem D-09,3,1,3,0.87,14.47,4621,664,576,0.000000,"Each row and each column must contain every outer shape (circle, octagon, square) and every stripe type (vertical, horizontal, cross) exactly once; the missing combination for column 3 / row 3 is an octagon with a vertical stripe.",
Basic Problems D,Basic Problem D-10,1,1,1,0.79,54.79,4621,2709,2624,0.000000,Both across rows and down columns the central shape cycles square→diamond→circle while the type of arms cycles small squares→diagonal lines→cardinal lines; the missing cell must be the next in both cycles – a square with diagonal arms.,
Basic Problems D,Basic Problem D-11,3,1,3,0.9,14.54,4621,964,896,0.000000,"Each row (and column) contains the three star styles exactly once, cycling rightward each row; the third row needs the solid star to complete the cycle.",
