ProblemSet,RavensProblem,Answer,Correct,Truth,Confidence,LatencySeconds,InputTokens,OutputTokens,ReasoningTokens,CostUSD,Rule,Error
Basic Problems B,Basic Problem B-01,2,1,2,1.0,3.41,11186,132,97,0.008885,All cells in the matrix contain the identical filled black square.,
Basic Problems B,Basic Problem B-02,5,1,5,1.0,5.24,11186,213,172,0.009188,All cells in the matrix contain the identical figure consisting of a plus sign inside a circle.,
Basic Problems B,Basic Problem B-03,1,1,1,1.0,4.86,11186,246,205,0.009312,The figure in the second column is a horizontal reflection of the figure in the first column.,
Basic Problems B,Basic Problem B-04,3,1,3,1.0,8.41,11186,425,373,0.009983,"The figures in the second column are the horizontal reflections of the figures in the first column, causing the missing quadrant of the circle to reflect horizontally.",
Basic Problems B,Basic Problem B-05,4,1,4,1.0,8.92,11186,643,583,0.010801,"The figures in the second row are the vertical reflections of the figures in the first row, so the bottom-left square in B becomes a top-left square in the missing cell.",
Basic Problems B,Basic Problem B-06,5,1,5,0.99,9.74,11186,715,665,0.011071,"The second column fills the lower half of the divided shape, corresponding to a horizontal reflection of the transformation from cell A to B.",
Basic Problems B,Basic Problem B-07,6,1,6,1.0,9.79,11186,1000,956,0.012139,"The figures reflect horizontally across rows, and reflect vertically while changing from solid black to an outline down columns.",
Basic Problems B,Basic Problem B-08,6,1,6,1.0,3.84,11186,249,198,0.009323,"The figures in the second column have the same shading pattern as those in the first column, but change shape from a circle to a square.",
Basic Problems B,Basic Problem B-09,5,1,5,1.0,2.7,11186,152,109,0.008960,The shape in the second column is the solid black filled version of the shape in the first column.,
Basic Problems B,Basic Problem B-10,3,1,3,1.0,6.08,11186,467,417,0.010141,"Going from top to bottom adds a solid black square inside the center, and going left to right replaces the inner circle with a square.",
Basic Problems B,Basic Problem B-11,1,1,1,1.0,6.2,11186,195,152,0.009121,The inner solid diamond is removed from the first column to the second column while keeping the outer shape.,
Basic Problems B,Basic Problem B-12,1,1,1,1.0,7.55,11186,679,628,0.010936,"Moving across the row removes the two outermost circles, while moving down the column removes the two innermost circles, leaving only the middle single circle.",
Basic Problems C,Basic Problem C-01,3,1,3,1.0,5.93,18838,447,392,0.015805,"Each row contains identical figures, with the number of concentric squares increasing from one in the first row to two in the second row and three in the third row.",
Basic Problems C,Basic Problem C-02,4,1,4,1.0,9.19,18838,591,543,0.016345,"The outer square increases in size by one step across each row and down each column, while the central solid square remains unchanged.",
Basic Problems C,Basic Problem C-03,4,1,4,1.0,10.2,18838,548,455,0.016183,"The number of diamond dots in each cell is the product of the row number and column number (Row 1: 1, 2, 3; Row 2: 2, 4, 6; Row 3: 3, 6, 9) arranged on a grid defined by the row and column axes.",
Basic Problems C,Basic Problem C-04,8,1,8,1.0,7.37,18838,366,300,0.015501,"The number of rows of circles increases by 1 down each column and the number of columns of circles increases by 1 across each row, resulting in a 3x3 grid of circles in the missing cell.",
Basic Problems C,Basic Problem C-05,3,1,3,1.0,6.08,18838,527,460,0.016105,"Moving left to right adds dots at the right and bottom-right points sequentially, while moving top to bottom adds dots at the left and bottom-left points, resulting in dots at all five points in the final cell.",
Basic Problems C,Basic Problem C-06,7,1,7,1.0,4.41,18838,392,328,0.015598,"The width increases from 1 to 3 units across columns, and the height increases from 1 to 3 units down rows, resulting in a 3x3 square in the bottom-right.",
Basic Problems C,Basic Problem C-07,2,1,2,1.0,7.02,18838,556,488,0.016213,"The diamond remains fixed in the center while the circle moves step-by-step across each row from left to right and down each column from top to bottom, placing it in the bottom-right position in the final cell.",
Basic Problems C,Basic Problem C-08,5,1,5,1.0,21.85,18838,1374,1306,0.019281,"Across each row and down each column, black squares are progressively added or converted to white outlined squares: in row 3 / column 3, two black squares turn white at each step, resulting in four white outlined squares.",
Basic Problems C,Basic Problem C-09,2,1,2,1.0,18.21,18838,1192,1130,0.018599,"In each row, the first cell shows two shapes pointing inward towards each other, the second cell shows them overlapping in the center, and the third cell shows them pointing outward away from each other.",
Basic Problems C,Basic Problem C-10,7,1,7,1.0,11.06,18838,543,479,0.016165,"The horizontal axis increases duplication and separation horizontally from left to right, while the vertical axis increases duplication and separation vertically from top to bottom, resulting in four fully separated diamonds in a 2x2 grid.",
Basic Problems C,Basic Problem C-11,4,1,4,1.0,9.55,18838,644,582,0.016543,"Across each row, the bottom row of dots increases from right to left, while down each column the vertical column of dots decreases from top to bottom, resulting in three dots across the bottom row.",
Basic Problems C,Basic Problem C-12,5,0,8,1.0,29.62,18838,3879,3818,0.028675,The black squares extend along the top row from right to left and along the left column from bottom to top; completing both full lines leads to the outer border filling completely in the final cell.,
Basic Problems D,Basic Problem D-01,3,1,3,1.0,4.11,18838,234,183,0.015006,"Each row contains three identical figures, so the third cell of the third row is identical to the first two cells (an outlined octagon).",
Basic Problems D,Basic Problem D-02,1,1,1,1.0,7.43,18838,253,214,0.015077,"Each row and column contains a solid circle, diamond, and triangle exactly once.",
Basic Problems D,Basic Problem D-03,3,1,3,1.0,4.35,18838,310,258,0.015291,"Each row and column contains a permutation of three figures: a single circle, a triangle and circle, and a triangle, circle, and square.",
Basic Problems D,Basic Problem D-04,1,1,1,1.0,6.3,18838,249,195,0.015062,"Each row keeps the same inner symbol (plus, star, heart) while cycling through outer shapes (circle, diamond, square) from left to right.",
Basic Problems D,Basic Problem D-05,7,1,7,1.0,6.73,18838,353,297,0.015452,"Each row features a base shape modified across columns: first enclosed by a circle outline, second with a central circular cutout, and third flanked by dots above and below.",
Basic Problems D,Basic Problem D-06,1,1,1,1.0,5.44,18838,468,414,0.015883,"Each row decreases the number of concentric outer squares from 3 to 1, while the inner shape permutes between a circle, plus, and triangle.",
Basic Problems D,Basic Problem D-07,1,1,1,1.0,14.54,18838,438,375,0.015771,"Each row and column contains three inner shapes (cross, square, heart) paired with three surround types (circle outline, same-shape outline, and four dots) according to a Latin square arrangement.",
Basic Problems D,Basic Problem D-08,4,1,4,1.0,9.18,18838,572,503,0.016273,"Each row and column contains a square, a diamond, and a circle, each appearing in one of three styles: solid filled, hollow outline, and nested solid inside hollow outline; thus the missing shape is a solid black diamond.",
Basic Problems D,Basic Problem D-09,3,1,3,1.0,4.21,18838,419,364,0.015700,"Each row and column contains a Latin square of three outer shapes (circle, octagon, square) and three internal bar patterns (vertical, horizontal, cross).",
Basic Problems D,Basic Problem D-10,1,1,1,1.0,9.52,18838,545,482,0.016172,"Each row and column follows a Latin-square design combining three central shapes (square, diamond, circle) and three peripheral attachments (four detached small squares, four diagonal lines, four orthogonal lines).",
Basic Problems D,Basic Problem D-11,3,1,3,1.0,7.02,18838,592,538,0.016348,"Each row and column contains a permutation of three star fill types: fully black, black points with a white center, and outlined points with a black center.",
Basic Problems D,Basic Problem D-12,3,1,3,1.0,6.83,18838,502,451,0.016011,"Each row and column forms a Latin square containing squares, triangles, and stars with counts of 3, 4, and 5.",
Basic Problems E,Basic Problem E-01,1,1,1,1.0,8.29,18838,541,498,0.016157,The third cell in each row and column is the overlay (union) of the first two cells.,
Basic Problems E,Basic Problem E-02,7,1,7,1.0,5.75,18838,490,422,0.015966,"Each entry in the third row/column is the visual combination (superposition) of the entries from the first two rows/columns, resulting in an overlay of the cross, the X, the circle, and the square.",
Basic Problems E,Basic Problem E-03,2,1,2,1.0,16.11,18838,1424,1383,0.019468,The third cell in each row is the union of the diamonds in the first two cells.,
Basic Problems E,Basic Problem E-04,8,1,8,1.0,64.7,18838,3271,3223,0.026395,Each column follows the rule that the third figure is the first figure minus the second figure (set difference of black squares).,
Basic Problems E,Basic Problem E-05,5,1,5,1.0,11.68,18838,695,645,0.016735,Each cell in the third column/row is obtained by subtracting the elements of the second column/row from the first column/row.,
Basic Problems E,Basic Problem E-06,8,1,8,1.0,12.69,18838,848,804,0.017309,Each cell in the middle of a row or column is the visual union of the two cells flanking it.,
Basic Problems E,Basic Problem E-07,3,1,3,1.0,5.97,18838,619,564,0.016450,Each row and column follows a symmetric difference (XOR) logic where elements that appear in only one of the first two cells are kept in the third cell.,
Basic Problems E,Basic Problem E-08,1,1,1,1.0,7.96,18838,828,779,0.017233,The third cell in each row and column is the XOR (exclusive OR) combination of the line segments from the first two cells.,
Basic Problems E,Basic Problem E-09,7,1,7,1.0,9.97,18838,526,478,0.016101,The figure in the third column takes its top unfilled shape from the first column and its bottom filled shape from the second column.,
Basic Problems E,Basic Problem E-10,8,1,8,1.0,5.21,18838,412,363,0.015673,The third cell in each row and column represents the intersection of the triangular points attached to the central square from the first two cells.,
Basic Problems E,Basic Problem E-11,5,1,5,1.0,8.0,18838,1141,1097,0.018407,The third cell in each row and column is the pixel intersection (AND) of the first two cells.,
Basic Problems E,Basic Problem E-12,6,1,6,1.0,27.98,18838,1473,1420,0.019652,"Each upward triangle represents +1 and each downward triangle represents -1, such that the sum across rows (and down columns) equals the third cell.",
Challenge Problems B,Challenge Problem B-01,6,1,6,0.95,6.07,11186,329,274,0.009623,"The figure rotates 90 degrees clockwise from the first column to the second column, affecting both the orientation of the individual triangles and their overall triangular arrangement.",
Challenge Problems B,Challenge Problem B-02,1,1,1,1.0,13.55,11186,1373,1310,0.013538,"Each step to the right rotates the shape 45° clockwise, and each step down rotates it 45° counter-clockwise, returning the missing cell to the original orientation of cell A.",
Challenge Problems B,Challenge Problem B-03,5,0,3,1.0,18.48,11186,1462,1407,0.013872,"The concentric square regions are alternately filled with black and white starting with black on the outermost band, while the number of squares decreases from 5 to 3.",
Challenge Problems B,Challenge Problem B-04,1,0,4,0.95,17.56,11186,1875,1820,0.015421,"The number of concentric circles decreases from top to bottom (from 5 to 3), and concentric rings alternate between black and white fill across the columns.",
Challenge Problems B,Challenge Problem B-05,6,1,6,0.99,4.41,11186,292,242,0.009484,"Moving across the row removes the outer square leaving the inner shape, so removing the square from cell C results in a blank cell.",
Challenge Problems B,Challenge Problem B-06,3,1,3,1.0,11.97,11186,1356,1305,0.013475,"Across rows, figures are horizontally reflected and the fill changes from black to striped; down columns, figures are vertically reflected with the same fill.",
Challenge Problems B,Challenge Problem B-07,6,1,6,1.0,18.27,11186,1661,1615,0.014618,"Each row undergoes a horizontal reflection, while each column undergoes a vertical reflection and changes from solid black to horizontal stripes.",
Challenge Problems B,Challenge Problem B-08,4,1,4,1.0,5.68,11186,262,211,0.009372,The number of sides of the polygon increases by 1 from left to right along each row (and by 2 down each column).,
Challenge Problems B,Challenge Problem B-09,4,1,4,1.0,4.12,11186,185,142,0.009083,The shape remains the same across the row while the vertical stripe fill changes to a solid black fill.,
Challenge Problems B,Challenge Problem B-10,4,1,4,1.0,11.1,11186,898,833,0.011757,"Moving across rows rotates the individual triangles 90° clockwise and changes the layout from pointing up to pointing right, while moving down columns rotates the triangle orientations 90° clockwise while keeping the layout constant.",
Challenge Problems B,Challenge Problem B-11,5,1,5,1.0,4.33,11186,275,208,0.009421,"The figures in the second column are horizontally flipped versions of those in the first column (and the second row is vertically flipped from the first row), so reflecting cell C horizontally gives an arrow pointing left with the barb pointing downwards.",
Challenge Problems B,Challenge Problem B-12,4,0,1,1.0,10.55,11186,1124,1068,0.012604,The shape in the second column is rotated so that its vertices and flat edges swap orientations relative to the axes (an edge-aligned shape becomes vertex-aligned).,
Challenge Problems C,Challenge Problem C-01,7,1,7,1.0,9.68,18838,803,741,0.017140,"Each row and column contains a Latin-square permutation of three distinct concentric square designs, so the missing cell must be the design with thin concentric square outlines and a solid black square in the center.",
Challenge Problems C,Challenge Problem C-02,7,1,7,1.0,5.43,18838,324,283,0.015343,The number of horizontally aligned squares increases by 1 across each row and down each column.,
Challenge Problems C,Challenge Problem C-03,3,1,3,1.0,6.52,18838,470,390,0.015891,"The grid dimensions are determined by row index (1 to 3 rows) and column index (1 to 3 columns), with the triangle fill alternating between hollow and solid across cells, resulting in a 3x3 grid of 9 hollow triangles for the bottom-right cell.",
Challenge Problems C,Challenge Problem C-04,8,1,8,1.0,7.79,18838,436,371,0.015763,"The number of vertical lines increases by one from top to bottom, and the number of horizontal lines increases by one from left to right, resulting in a 3x3 grid of lines for the missing cell.",
Challenge Problems C,Challenge Problem C-05,4,1,4,1.0,12.31,18838,1005,954,0.017897,"Each step to the right and down removes one element from the 2x2 grid in a fixed order, resulting in an empty cell.",
