ProblemSet,RavensProblem,Answer,Correct,Truth,Confidence,LatencySeconds,InputTokens,OutputTokens,ReasoningTokens,Rule,Error
Basic Problems B,Basic Problem B-01,2,1,2,0.99,18.83,2875,1092,1024,All cells contain the same filled black square across both rows and columns; the missing cell should be a filled black square.,
Basic Problems B,Basic Problem B-02,5,1,5,0.99,29.3,2875,1442,1344,The figure is constant across the matrix: a plus inside a circle outline appears in every cell.,
Basic Problems B,Basic Problem B-03,1,1,1,0.9,36.15,2875,2025,1920,"Across the row the triangle mirrors left-right; down the column the figure repeats. Since C equals A, the missing cell is the mirror of C, same as B.",
Basic Problems B,Basic Problem B-04,3,1,3,0.98,40.2,2875,2285,2176,"B is A mirrored left–right; C is A mirrored top–bottom. Therefore the missing cell is A mirrored both ways (equivalent to 180° rotation), giving the notch at the top-left.",
Basic Problems B,Basic Problem B-05,4,1,4,0.73,173.64,2875,8715,8640,"Down the column each figure rotates 90° counterclockwise; across the row the triangle changes into a square mirrored to the left, so C maps to a square in the top-left corner (also B rotated 90° CCW).",
Basic Problems B,Basic Problem B-06,5,1,5,0.84,125.02,2875,7648,7552,"Down the column the diagonal is rotated 90° (positive slope to negative), and across the row the second cell is the first with one triangular half filled. Thus the missing cell is B rotated 90°, giving a negative-slope diagonal with the bottom-left triangle black.",
Basic Problems B,Basic Problem B-07,5,0,6,0.68,131.36,2875,8331,8256,"Across each row the figure is mirrored left-right; down each column the figure is mirrored top-bottom and switches from filled to outline. Thus from B to the missing cell we flip vertically and change to outline, giving the NW notch.",
Basic Problems B,Basic Problem B-08,6,1,6,0.97,40.53,2875,2086,1984,"Columns fix the outer shape (left column circles, right column squares) while the interior fill stays constant: a vertical split with left white and right black. Thus the missing cell is the square with the same split.",
Basic Problems B,Basic Problem B-09,5,1,5,0.98,19.82,2875,1173,1088,Across each row the same shape changes from outline to filled; down each column the shape changes from an octagon (8 sides) to a square (4 sides).,
Basic Problems B,Basic Problem B-10,3,1,3,0.9,66.7,2875,3865,3776,"Down the column a filled square is added; across the row one circle is removed and an empty square is added, so D is B with a filled square added (single circle containing both an outline and a filled square).",
Basic Problems B,Basic Problem B-11,1,1,1,0.97,41.44,2875,1790,1664,"Across each row the inner black diamond is removed; down each column the outer shape changes from heart to octagon while preserving whether the diamond is present. Therefore from C (octagon with diamond), removing the diamond yields an empty octagon.",
Basic Problems B,Basic Problem B-12,1,1,1,0.93,60.93,2875,4109,3968,The number of concentric rings decreases by fixed amounts: across rows subtract 3 (A=6→B=3) and down columns subtract 2 (A=6→C=4); thus the bottom-right must have one ring (4−3=1 and 3−2=1).,
Basic Problems C,Basic Problem C-01,3,1,3,0.96,30.06,4374,1984,1856,"Down each column (and across each row), the number of concentric squares increases by one: 1 in the top row, 2 in the middle, 3 in the bottom; so the last cell should have three nested squares.",
Basic Problems C,Basic Problem C-02,4,1,4,0.98,36.87,4374,2355,2240,The outer outline square increases one size step to the right and downward while the filled inner square stays the same; thus the bottom-right cell should have the next larger outline square.,
Basic Problems C,Basic Problem C-03,4,1,4,0.93,80.89,4374,4507,4416,"In each row and column, the third cell equals the union of the dots in the first two cells; applying this to row 3 (G ∪ H) or column 3 (C ∪ F) fills all nine compass positions.",
Basic Problems C,Basic Problem C-04,8,1,8,0.97,30.76,4374,1906,1792,"Each cell shows a grid of overlapping circles with rows increasing by one downwards (1,2,3) and columns increasing by one to the right (1,2,3); thus the missing cell is a 3×3 grid.",
Basic Problems C,Basic Problem C-05,3,1,3,0.93,63.3,4374,4270,4160,"Dots are added one at a time around the star in a fixed order: moving right across a row adds the next clockwise dot; moving down a column adds the next counterclockwise dot. Thus counts increase by one both rightward and downward, so the last cell should show all five dots (top, left, right, bottom-left, bottom-right).",
Basic Problems C,Basic Problem C-06,7,1,7,0.93,91.93,4374,3267,3200,Width increases left-to-right while height increases top-to-bottom; each row has constant height and each column has constant width.,
Basic Problems C,Basic Problem C-07,2,1,2,0.9,127.47,4374,6327,6208,"The circle steps through all 9 grid positions (left→center→right across rows and top→middle→bottom down columns), while the diamond’s horizontal position is fixed by column (right in col1, center in col2, left in col3); thus the missing cell needs a bottom-right circle with a left-of-center diamond.",
Basic Problems C,Basic Problem C-08,5,1,5,0.89,227.66,4374,10496,10368,"Each cell is the overlay of a row mask and a column mask: row masks = {row1: none, row2: bottom row, row3: all four}; column masks = {col1: none, col2: right column, col3: all four}. Squares present in exactly one mask are black; in both are white; in neither are empty. Thus (row3,col3) has all four squares white.",
Basic Problems C,Basic Problem C-09,2,1,2,0.78,160.14,4374,10272,10176,"In each row, the middle cell is the union/overlay of the left and right cells. Thus H is the overlay of G and the missing cell, so the missing cell must be the pair of stars oriented opposite to G (points facing inward) so their union forms the starburst in H.",
