ProblemSet,RavensProblem,Answer,Correct,Truth,Confidence,LatencySeconds,InputTokens,OutputTokens,ReasoningTokens,Rule,Error
Basic Problems B,Basic Problem B-01,2,1,2,1,2.82,2288,41,0,"All cells contain the same filled black square, so the missing cell must also be a filled black square.",
Basic Problems B,Basic Problem B-02,5,1,5,0.99,5.22,2288,43,0,All given cells are identical—a black plus inside an outlined circle—so the missing cell must match them.,
Basic Problems B,Basic Problem B-03,1,1,1,0.99,7.39,2288,41,0,The triangle is unchanged down each column and reflected horizontally from the left column to the right column.,
Basic Problems B,Basic Problem B-04,3,1,3,0.99,5.37,2288,150,104,The missing quarter rotates 90° clockwise across each row and 90° counterclockwise down each column.,
Basic Problems B,Basic Problem B-05,4,1,4,0.99,6.9,2288,333,285,Reflect the figure vertically from the top row to the bottom row; thus B becomes a black square in the upper-left.,
Basic Problems B,Basic Problem B-06,5,1,5,0.99,7.17,2288,270,222,"Across each row, the triangular region below the diagonal is filled black; the diagonal reverses direction in the second row.",
Basic Problems B,Basic Problem B-07,6,1,6,0.99,9.22,2288,404,362,"Reflect each figure horizontally from the left cell to the right cell, while preserving fill style.",
Basic Problems B,Basic Problem B-08,6,1,6,0.99,3.42,2288,48,0,Moving right changes the circle into a square while preserving the vertical split and right-side black fill; moving down leaves the figure unchanged.,
Basic Problems B,Basic Problem B-09,5,1,5,0.99,2.82,2288,53,0,Moving left to right changes the outlined shape to filled while preserving its shape; moving top to bottom changes the octagon to a square while preserving fill state.,
Basic Problems B,Basic Problem B-10,3,1,3,0.99,5.03,2288,208,166,"Across each row, the inner circle becomes an outlined square while all other elements remain unchanged.",
Basic Problems B,Basic Problem B-11,1,1,1,0.99,3.65,2288,57,0,"Across each row, the central black diamond is removed while the outer shape remains unchanged; down each column, the heart changes into an octagon while the diamond state remains unchanged.",
Basic Problems B,Basic Problem B-12,1,1,1,0.99,6.53,2288,354,305,"Moving right removes the two outer circles, while moving down removes the two inner circles, leaving one circle in the missing cell.",
Basic Problems C,Basic Problem C-01,3,1,3,0.99,3.56,2625,49,0,"Each row has a constant number of nested squares: one in the first row, two in the second, and three in the third.",
Basic Problems C,Basic Problem C-02,4,1,4,0.99,3.65,2625,169,124,"The outlined square increases by one size step moving right or down, while the central black square remains unchanged.",
Basic Problems C,Basic Problem C-03,4,1,4,0.99,5.14,2625,174,128,"The number of diamonds equals the row number multiplied by the column number, so the missing cell has nine diamonds.",
Basic Problems C,Basic Problem C-04,8,1,8,0.99,4.51,2625,208,145,"Each cell contains a grid of overlapping circles: the column determines 1, 2, or 3 circles horizontally, and the row determines 1, 2, or 3 vertically.",
Basic Problems C,Basic Problem C-05,3,1,3,0.99,4.31,2625,106,53,"Dots are added cumulatively: moving right adds the upper-right then lower-right dot, while moving down adds the upper-left then lower-left dot.",
Basic Problems C,Basic Problem C-06,7,1,7,1.0,3.86,2625,176,132,"Rectangle width increases across columns while height increases down rows, so the missing cell is the largest square.",
Basic Problems C,Basic Problem C-07,2,1,2,0.99,5.75,2625,283,235,"The diamond stays centered while the circle occupies the corresponding position of each matrix cell, progressing from top-left to bottom-right.",
Basic Problems C,Basic Problem C-08,5,1,5,0.99,7.47,2625,357,311,"Each cell combines its row and column patterns: non-overlapping squares are filled, while overlapping squares become outlines.",
Basic Problems C,Basic Problem C-09,2,1,2,0.99,10.07,2625,470,429,"In each row, the two shapes face inward, then overlap, then face outward.",
Basic Problems C,Basic Problem C-10,7,1,7,1,3.6,2625,135,88,"Each row applies a vertical arrangement and each column a horizontal arrangement: one diamond, two touching diamonds, then two separated diamonds.",
Basic Problems C,Basic Problem C-11,4,1,4,1.0,8.21,2625,232,166,"Each row fixes the height of the right vertical line (3, 2, then 1), while each column fixes the length of the bottom horizontal line (1, 2, then 3).",
