ProblemSet,RavensProblem,Answer,Correct,Truth,Confidence,LatencySeconds,InputTokens,OutputTokens,ReasoningTokens,Rule,Error
Basic Problems B,Basic Problem B-01,2,1,2,0.99,4.49,2288,173,129,"All given cells contain the same solid square, so the missing cell must also be a solid square.",
Basic Problems B,Basic Problem B-02,5,1,5,0.99,5.07,2288,192,148,"All visible matrix cells contain the same circle enclosing a plus sign, so the missing cell matches them.",
Basic Problems B,Basic Problem B-03,1,1,1,0.99,2.86,2288,68,26,"The triangle is reflected horizontally from left to right, while the top and bottom rows match.",
Basic Problems B,Basic Problem B-04,3,1,3,0.94,15.27,2288,714,661,"The missing quarter rotates by reflection: rightward swaps left/right and downward swaps top/bottom, so the final gap is at the top-left.",
Basic Problems B,Basic Problem B-05,4,1,4,0.94,8.32,2288,313,265,"The bottom row is the vertical reflection of the top row, so B's lower-left block becomes an upper-left block.",
Basic Problems B,Basic Problem B-06,5,1,5,0.99,4.11,2288,111,85,,
Basic Problems B,Basic Problem B-07,6,1,6,0.99,5.89,2288,195,152,Reflect horizontally across the top row and vertically plus change from filled to outline down the left column.,
Basic Problems B,Basic Problem B-08,6,1,6,0.99,3.58,2288,66,20,"The figure in the bottom row repeats the corresponding figure directly above it, so the missing cell must match B.",
Basic Problems B,Basic Problem B-09,5,1,5,0.99,2.86,2288,70,32,"Across each row, the outlined shape becomes filled while retaining its form.",
Basic Problems B,Basic Problem B-10,3,1,3,1,3.7,2288,109,85,3,
Basic Problems B,Basic Problem B-11,1,1,1,0.99,3.13,2288,105,57,"The diamond is removed from left to right, while the outer shape changes from heart to octagon from top to bottom.",
Basic Problems B,Basic Problem B-12,1,1,1,0.98,15.96,2288,804,754,Both moving right and moving down removes two concentric circles and reduces the overall size; thus the missing cell has one small circle.,
Basic Problems C,Basic Problem C-01,3,1,3,0.99,2.33,2625,75,29,"Each row increases the number of nested squares by one: 1, then 2, then 3.",
Basic Problems C,Basic Problem C-02,4,1,4,0.99,3.46,2625,133,82,"The outlined square increases by one fixed size step from left to right and from top to bottom, while the central black square remains constant.",
Basic Problems C,Basic Problem C-03,4,1,4,0.99,6.32,2625,276,216,"The number of diamonds increases by a constant factor across rows and columns: 1-2-3, 2-4-6, and 3-6-9.",
Basic Problems C,Basic Problem C-04,8,1,8,0.99,4.19,2625,206,131,"Each cell combines the column’s number of horizontally arranged circles (1, 2, 3) with the row’s number of vertically arranged circles (1, 2, 3), so the missing cell needs a 3-by-3 arrangement.",
Basic Problems C,Basic Problem C-05,3,1,3,0.99,3.66,2625,122,69,"Dots are cumulatively added across columns (right then lower-right) and down rows (left then lower-left), while the top dot remains constant.",
Basic Problems C,Basic Problem C-06,7,1,7,0.99,5.55,2625,137,102,Rectangle width increases across columns while height increases down rows.,
Basic Problems C,Basic Problem C-07,2,1,2,0.99,4.97,2625,190,139,"The circle moves through the eight compass positions around the diamond in reading order, with the center cell representing overlap so the diamond is hidden.",
Basic Problems C,Basic Problem C-08,5,1,5,0.99,23.74,2625,1246,1202,"Each inner cell overlays its column-header and row-header square patterns, with overlapping black squares becoming outlines.",
Basic Problems C,Basic Problem C-09,2,1,2,0.98,15.34,2625,733,686,"Each row shows a pair of identical shapes facing inward, overlapping, then facing outward; the third row uses stars.",
Basic Problems C,Basic Problem C-10,7,1,7,0.99,4.35,2625,180,124,"Each row sets the vertical relation (single, touching, separated) and each column sets the horizontal relation (single, touching, separated), combined in each cell.",
Basic Problems C,Basic Problem C-11,4,1,4,0.99,5.37,2625,201,147,"Each step right adds one diamond along the bottom row from left to center, while each step down removes the highest diamond in the right-hand vertical column.",
Basic Problems C,Basic Problem C-12,8,1,8,0.99,24.68,2625,1517,1459,"Across columns the black area expands leftward along the top row, and down rows it expands upward along the left column, leaving the lower-right 2×2 grid.",
Basic Problems D,Basic Problem D-01,3,1,3,0.99,2.42,2625,56,20,Each row contains the same shape repeated across all three columns.,
Basic Problems D,Basic Problem D-02,1,1,1,0.99,2.36,2625,74,32,"Each row and column contains one filled circle, one filled diamond, and one filled triangle.",
Basic Problems D,Basic Problem D-03,3,1,3,0.99,8.03,2625,185,136,"Each row and column cycles through the three figure sets: circle alone, triangle-plus-circle, and triangle-plus-circle-plus-square.",
Basic Problems D,Basic Problem D-04,1,1,1,0.99,7.11,2625,48,0,"Rows determine the inner symbol (plus, star, heart), while columns determine the enclosing outline (circle, diamond, square).",
Basic Problems D,Basic Problem D-05,7,1,7,0.99,3.2,2625,128,70,"Each row keeps the same central polygon, while the columns change its surrounding/inner marking from an enclosing outline circle to a white circular cutout to two external black dots.",
Basic Problems D,Basic Problem D-06,1,1,1,0.99,3.24,2625,125,68,"Each row cyclically shifts the three symbols (circle, plus, triangle), while the number of nested square outlines decreases from three to two to one down the rows.",
Basic Problems D,Basic Problem D-07,1,1,1,0.99,6.62,2625,198,136,"Each row and column cycles the inner shapes (plus, square, heart) and the outer surrounds (dots, circle, matching outline), so the missing cell is a square with four dots.",
Basic Problems D,Basic Problem D-08,4,1,4,0.99,5.47,2625,276,221,"Each row and column cycles through square, diamond, and circle, while the display style cycles through filled alone, outline alone, and filled-inside-outline.",
Basic Problems D,Basic Problem D-09,3,1,3,0.99,11.82,2625,139,91,"Both the outer shapes and bar patterns shift cyclically across rows and columns, requiring an octagon with a vertical bar.",
Basic Problems D,Basic Problem D-10,1,1,1,0.99,4.94,2625,260,194,"The central shapes cycle square→diamond→circle across rows and columns, while the surrounding pattern cycles detached cardinal squares→diagonal arms→cardinal arms; therefore the missing cell is a square with diagonal arms.",
Basic Problems D,Basic Problem D-11,3,1,3,0.99,3.8,2625,158,106,"The three star styles cycle leftward across each row and downward: solid star, solid star with white center, outlined star with black center.",
Basic Problems D,Basic Problem D-12,3,1,3,0.99,3.69,2625,178,125,"Each row and column cycles through square, triangle, and star shapes, while the counts cycle through 3, 4, and 5.",
Basic Problems E,Basic Problem E-01,1,1,1,0.99,4.18,2625,171,117,"Each third cell is the combination of the first two cells in its row, and likewise the bottom cell combines the top and middle cells in its column.",
