ProblemSet,RavensProblem,Answer,Correct,Truth,Confidence,LatencySeconds,InputTokens,OutputTokens,ReasoningTokens,CostUSD,Rule,Error
Basic Problems B,Basic Problem B-01,2,1,2,1.0,4.03,1780,216,175,0.001068,"All cells in the matrix contain the same black square, so the missing cell must also be a black square.",
Basic Problems B,Basic Problem B-02,6,0,5,1.0,4.23,1780,440,380,0.000682,"The shape changes from circle to square across each row, while the vertical left-white/right-black shading remains the same; the missing cell should be a square with left half white and right half black.",
Basic Problems B,Basic Problem B-03,6,0,1,0.95,153.59,1780,24239,24192,0.016389,"Each column contains the same shape type, with the bottom figure being the top figure reflected across the diagonal from bottom-left to top-right.",
Basic Problems B,Basic Problem B-04,6,0,3,0.95,6.75,1780,795,752,0.000916,"In each row, the shape changes from a circle to a square while the right-half black shading stays the same.",
Basic Problems B,Basic Problem B-05,4,1,4,0.95,24.31,1780,3548,3484,0.002733,"Each row keeps the shape in the same vertical position but moves it from the right half to the left half, turning the triangle into a square; in the second row, the upper-right triangle becomes an upper-left square.",
Basic Problems B,Basic Problem B-06,6,0,5,1.0,4.68,1780,567,527,0.000766,"In each row, the circle becomes a square while preserving the left-white/right-black vertical split.",
Basic Problems B,Basic Problem B-07,4,0,6,1.0,19.47,1780,2696,2651,0.002171,"Each column contains the same shape reflected across the horizontal axis, so the missing cell is a square in the upper-left position.",
Basic Problems B,Basic Problem B-08,6,1,6,0.95,9.78,1780,1303,1245,0.001252,"Each row changes the outer shape from circle to square while keeping the right half black; each column keeps the shape and shading, so the missing cell is a square with its right half black.",
Basic Problems B,Basic Problem B-09,6,0,5,1,2.35,1780,257,209,0.000561,"The shape changes from circle to square in each row while keeping the same left-white/right-black split, and the circle is unchanged down the column.",
Basic Problems B,Basic Problem B-10,6,0,3,1.0,3.97,1780,475,420,0.000705,"In each row, the shape changes from a circle to a square while the black-right shading remains the same, so the missing cell is a square with the right half black.",
Basic Problems B,Basic Problem B-11,6,0,1,0.95,3.75,1780,536,462,0.000745,"Across each row, the shape changes from a circle to a square while the left-white/right-black shading stays the same; down each column, both shape and shading remain the same, so the missing cell is a square with the left half white and right half black.",
Basic Problems B,Basic Problem B-12,6,0,1,1.0,2.91,1780,377,322,0.000640,"The shape changes from circle to square across each row while keeping the same vertical left-white/right-black fill pattern, and down each column the shape and fill pattern remain identical.",
Basic Problems C,Basic Problem C-01,3,1,3,1.0,2.43,2624,311,263,0.000783,"Each row contains the same number of concentric squares, increasing by one from top to bottom, so the missing cell must have three nested squares.",
Basic Problems C,Basic Problem C-02,4,1,4,0.95,6.91,2624,1000,954,0.001237,"The outer square increases in size by a constant amount across each row and down each column, while the central black square remains fixed.",
Basic Problems C,Basic Problem C-03,3,0,4,0.95,17.97,2624,2572,2521,0.002275,"Each row contains a constant number of concentric squares equal to the row number; the missing cell must contain three nested squares, matching the other third-row cells.",
Basic Problems C,Basic Problem C-04,3,0,8,1.0,8.11,2624,1201,1162,0.001370,"Each row contains the same number of nested squares, and the third row has three nested squares.",
Basic Problems C,Basic Problem C-05,3,1,3,0.98,13.71,2624,1934,1880,0.001854,"Each row has the same number of nested squares and each column adds one outer square, so the missing cell must be the same three nested squares as in G and H.",
Basic Problems C,Basic Problem C-06,3,0,7,1.0,19.09,2624,2883,2825,0.002480,"Each row contains the same number of concentric squares, increasing from one in the top row to three in the bottom row, so the missing cell must have three nested squares like G and H.",
Basic Problems C,Basic Problem C-07,4,0,2,0.95,37.16,2624,5576,5515,0.004257,"The outer square grows larger across each row and down each column, while each figure is a square outline containing a filled black square, so the missing cell must be the largest square with a filled black square.",
Basic Problems C,Basic Problem C-08,5,1,5,0.95,42.69,2624,4730,4682,0.007398,"In each row and column, identical black squares turn white while blank/black combinations become black, so the missing cell has four white outlined squares.",
Basic Problems C,Basic Problem C-09,4,0,2,0.95,20.06,2624,2905,2863,0.002495,"The outer square increases in size across each row and column, while the central black square remains the same size.",
Basic Problems C,Basic Problem C-10,3,0,7,0.99,10.68,2624,1474,1423,0.001550,"Each row contains identical figures, with the number of concentric squares increasing by one per row; the missing cell must have three nested squares matching G and H.",
Basic Problems C,Basic Problem C-11,4,1,4,0.95,42.57,2624,6657,6601,0.004971,"The outer square grows larger by one step moving right and down, while the centered black square is always present, so the missing figure is the next larger square with a black center.",
Basic Problems C,Basic Problem C-12,3,0,8,1,9.95,2624,1425,1376,0.001518,"The number of nested squares increases by one in each row and each column, so the missing cell must contain three nested squares matching those in G and H.",
Basic Problems D,Basic Problem D-01,3,1,3,0.95,10.68,2624,1483,1440,0.001556,"Each row and column increases the number of nested squares by one, so the missing cell must contain three nested squares.",
Basic Problems D,Basic Problem D-02,3,0,1,0.98,11.53,2624,1683,1640,0.001688,"Each row and column adds one concentric square, so the missing cell must have three nested squares matching the third row.",
Basic Problems D,Basic Problem D-03,3,1,3,0.97,23.91,2624,3500,3444,0.002887,"Each row contains the same number of nested squares, and each column adds one outer square as you go down, so the missing cell must have three nested squares matching G and H.",
Basic Problems D,Basic Problem D-04,1,1,1,1.0,5.1,2624,320,258,0.001577,"Across each row, the outer shape changes from circle to diamond to square while the inner black shape stays constant; down each column, the inner shape changes from plus to star to heart while the outer shape stays constant.",
Basic Problems D,Basic Problem D-05,7,1,7,1,8.9,2624,802,732,0.002213,"In each row, the first cell shows a shape inside a circle, the second cell is that shape with a white circular hole, and the third cell is that shape with dots above and below; the shape changes from square to diamond to octagon down the rows.",
Basic Problems D,Basic Problem D-06,3,0,1,0.95,23.57,2624,3449,3399,0.002854,"Each column adds one concentric square to the figure, so the missing cell in row 3 must contain three nested squares identical to cells G and H.",
Basic Problems D,Basic Problem D-07,3,0,1,0.95,26.34,2624,3871,3820,0.003132,"Each row contains the same number of nested squares, and each column adds one nested square; the missing cell should have three nested squares matching G and H.",
Basic Problems D,Basic Problem D-08,4,1,4,0.93,54.05,2624,8301,8147,0.006056,The outer square increases in size across rows and down columns while the inner black square remains constant.,
Basic Problems D,Basic Problem D-09,4,0,3,0.95,13.26,2624,1987,1932,0.001889,"In each row and column, the outer square grows larger while the inner black square stays the same size, so the missing cell is the largest square with a centered black square.",
Basic Problems D,Basic Problem D-10,3,0,1,0.99,14.67,2624,2092,2041,0.001958,"The number of nested squares increases by one from row to row (1, 2, 3), so the missing cell must contain three concentric squares.",
Basic Problems D,Basic Problem D-11,3,1,3,0.99,14.63,2624,2075,2024,0.001947,"Each row repeats the same figure while the number of nested squares increases by one down each row/column, so the missing cell must contain three nested squares.",
Basic Problems D,Basic Problem D-12,4,0,3,0.92,61.42,2624,9690,8780,0.006973,The outer square increases in size across rows and columns while the central black square remains constant; the missing cell is the large square containing the black square.,
Basic Problems E,Basic Problem E-01,4,0,1,0.8,133.63,2624,22972,22895,0.015739,"The outer square increases in size across each row and down each column, while the inner black square stays the same size.",
Basic Problems E,Basic Problem E-02,3,0,7,0.95,8.13,2624,1124,1081,0.001319,"The number of nested squares increases by one moving down each column, so the missing cell must contain three nested squares.",
Basic Problems E,Basic Problem E-03,6,0,2,0.95,193.92,2624,22256,22217,0.030427,"In each row, the third cell is the union (superposition) of the first two cells.",
Basic Problems E,Basic Problem E-04,3,0,8,1.0,6.59,2624,1007,964,0.001242,"The number of concentric squares increases by one from row to row, so the missing cell must contain three concentric squares.",
Basic Problems E,Basic Problem E-05,5,1,5,1.0,29.12,2624,2995,2940,0.005002,"The third figure in each row/column is the first figure with the second figure subtracted (overlapping parts are removed, and the small square erases the star's center).",
Basic Problems E,Basic Problem E-06,3,0,8,0.95,42.93,2624,6650,6595,0.004966,"Each row has the same number of nested squares, and the number of squares increases by one in each successive row, so the missing cell must contain three nested squares like the other third-row cells.",
Basic Problems E,Basic Problem E-07,3,1,3,0.97,25.78,2624,3739,3689,0.003045,"Each row repeats the same figure, and moving down adds one nested square, so the missing cell is the same three nested squares as in cell H.",
Basic Problems E,Basic Problem E-08,1,1,1,1.0,24.46,2624,2553,2498,0.004419,"In each row, the third figure is the symmetric difference (XOR) of the first two figures: lines that appear in both cancel out, and the remaining lines are combined.",
Basic Problems E,Basic Problem E-09,7,1,7,0.99,9.41,2624,922,875,0.002266,"In each row and column, the third cell is made from the top shape of the first cell and the bottom shape of the second cell.",
Basic Problems E,Basic Problem E-10,2,0,8,0.95,59.28,2624,6467,6426,0.009586,The third cell in each row is the intersection (overlapping area) of the first two mirror-image shapes.,
Basic Problems E,Basic Problem E-11,5,1,5,0.95,71.98,2624,8049,8006,0.011674,"Each row's third cell is the pixel-wise intersection of the first two cells, so the missing cell is the overlap of G and H.",
Basic Problems E,Basic Problem E-12,6,1,6,1.0,11.41,2624,1107,1056,0.002510,"Combine the first two cells in each row or column and cancel one up-pointing triangle against one down-pointing triangle, leaving the remainder in the last cell.",
Challenge Problems B,Challenge Problem B-01,4,0,6,0.9,44.99,1780,7412,7337,0.005284,"In each row, the first figure is a triangle on the right half and the second is a square on the left half at the same vertical level; in each column, the shapes move upward while staying on the same side. The missing cell is therefore an upper-left square.",
Challenge Problems B,Challenge Problem B-02,2,0,1,1.0,22.39,1780,3118,3070,0.002449,Each column flips the top figure vertically across the horizontal axis; applying this to the top-right square gives a square in the lower-left.,
Challenge Problems B,Challenge Problem B-03,4,0,3,0.95,28.43,1780,4303,4264,0.003232,Each figure in the top row is reflected vertically to form the corresponding figure in the bottom row.,
Challenge Problems B,Challenge Problem B-04,6,0,4,0.95,3.1,1780,402,342,0.000657,"Each row and column keeps the same vertical fill pattern (left white, right black) while the shape alternates between circle and square; the missing cell should be a square with the left half white and right half black.",
Challenge Problems B,Challenge Problem B-05,6,1,6,0.95,14.79,1780,2547,2491,0.002073,"Each row keeps the same vertical split (left white, right black) but changes from a circle to a square, so the missing cell is a square with the right half black.",
Challenge Problems B,Challenge Problem B-06,4,0,3,1.0,38.89,1780,4314,4266,0.006478,"Each figure rotates 90° counterclockwise and changes from solid black to diagonal stripes across rows, while columns rotate 180° with fill unchanged.",
Challenge Problems B,Challenge Problem B-07,6,1,6,1.0,1.68,1780,267,218,0.000568,"Each row has the same left-white/right-black split, while the shape changes from circle in the first column to square in the second column.",
Challenge Problems B,Challenge Problem B-08,6,0,4,1.0,4.25,1780,645,589,0.000817,"In each row, the shape changes from a circle to a square while keeping the same left-white/right-black split; the missing cell should be a square with that same split.",
Challenge Problems B,Challenge Problem B-09,6,0,4,1,2.76,1780,350,305,0.000623,"The shape changes from circle to square while keeping the right half black, so the missing cell is a square with the right half black.",
Challenge Problems B,Challenge Problem B-10,6,0,4,1.0,2.78,1780,446,401,0.000686,"The shape changes from circle to square across each row while keeping the same vertical fill pattern (left white, right black).",
Challenge Problems B,Challenge Problem B-11,6,0,5,0.98,6.44,1780,1120,1054,0.001131,"Each row keeps the same left-right shading (white left, black right) while the shape changes from circle in the first column to square in the second column; the missing cell should be a square with white left and black right.",
Challenge Problems B,Challenge Problem B-12,6,0,1,0.95,3.35,1780,460,402,0.000695,"Each row shows the same half-filled pattern applied to a circle in the first column and a square in the second column, so the missing cell is a square with left white and right black.",
