ProblemSet,RavensProblem,Answer,Correct,Truth
Basic Problems B,Basic Problem B-01,1,0,2
Basic Problems B,Basic Problem B-02,5,1,5
Basic Problems B,Basic Problem B-03,4,0,1
Basic Problems B,Basic Problem B-04,3,1,3
Basic Problems B,Basic Problem B-05,5,0,4
Basic Problems B,Basic Problem B-06,4,0,5
Basic Problems B,Basic Problem B-07,1,0,6
Basic Problems B,Basic Problem B-08,6,1,6
Basic Problems B,Basic Problem B-09,2,0,5
Basic Problems B,Basic Problem B-10,4,0,3
Basic Problems B,Basic Problem B-11,1,1,1
Basic Problems B,Basic Problem B-12,2,0,1
Basic Problems C,Basic Problem C-01,8,0,3
Basic Problems C,Basic Problem C-02,2,0,4
Basic Problems C,Basic Problem C-03,4,1,4
Basic Problems C,Basic Problem C-04,3,0,8
Basic Problems C,Basic Problem C-05,7,0,3
Basic Problems C,Basic Problem C-06,7,1,7
Basic Problems C,Basic Problem C-07,5,0,2
Basic Problems C,Basic Problem C-08,1,0,5
Basic Problems C,Basic Problem C-09,4,0,2
Basic Problems C,Basic Problem C-10,7,1,7
Basic Problems C,Basic Problem C-11,4,1,4
Basic Problems C,Basic Problem C-12,6,0,8
Basic Problems D,Basic Problem D-01,4,0,3
Basic Problems D,Basic Problem D-02,1,1,1
Basic Problems D,Basic Problem D-03,6,0,3
Basic Problems D,Basic Problem D-04,4,0,1
Basic Problems D,Basic Problem D-05,5,0,7
Basic Problems D,Basic Problem D-06,4,0,1
Basic Problems D,Basic Problem D-07,2,0,1
Basic Problems D,Basic Problem D-08,8,0,4
Basic Problems D,Basic Problem D-09,2,0,3
Basic Problems D,Basic Problem D-10,2,0,1
Basic Problems D,Basic Problem D-11,4,0,3
Basic Problems D,Basic Problem D-12,2,0,3
Basic Problems E,Basic Problem E-01,2,0,1
Basic Problems E,Basic Problem E-02,5,0,7
Basic Problems E,Basic Problem E-03,3,0,2
Basic Problems E,Basic Problem E-04,2,0,8
Basic Problems E,Basic Problem E-05,3,0,5
Basic Problems E,Basic Problem E-06,8,1,8
Basic Problems E,Basic Problem E-07,1,0,3
Basic Problems E,Basic Problem E-08,3,0,1
Basic Problems E,Basic Problem E-09,2,0,7
Basic Problems E,Basic Problem E-10,1,0,8
Basic Problems E,Basic Problem E-11,3,0,5
Basic Problems E,Basic Problem E-12,4,0,6
Challenge Problems B,Challenge Problem B-01,4,0,6
Challenge Problems B,Challenge Problem B-02,5,0,1
Challenge Problems B,Challenge Problem B-03,6,0,3
Challenge Problems B,Challenge Problem B-04,6,0,4
Challenge Problems B,Challenge Problem B-05,1,0,6
Challenge Problems B,Challenge Problem B-06,1,0,3
Challenge Problems B,Challenge Problem B-07,2,0,6
Challenge Problems B,Challenge Problem B-08,1,0,4
Challenge Problems B,Challenge Problem B-09,3,0,4
Challenge Problems B,Challenge Problem B-10,6,0,4
Challenge Problems B,Challenge Problem B-11,4,0,5
Challenge Problems B,Challenge Problem B-12,2,0,1
Challenge Problems C,Challenge Problem C-01,1,0,7
Challenge Problems C,Challenge Problem C-02,6,0,7
Challenge Problems C,Challenge Problem C-03,2,0,3
Challenge Problems C,Challenge Problem C-04,8,1,8
Challenge Problems C,Challenge Problem C-05,8,0,4
Challenge Problems C,Challenge Problem C-06,7,1,7
Challenge Problems C,Challenge Problem C-07,6,0,3
Challenge Problems C,Challenge Problem C-08,5,0,1
Challenge Problems C,Challenge Problem C-09,5,0,7
Challenge Problems C,Challenge Problem C-10,1,0,3
Challenge Problems C,Challenge Problem C-11,2,0,4
Challenge Problems C,Challenge Problem C-12,7,0,2
Challenge Problems D,Challenge Problem D-01,5,0,2
Challenge Problems D,Challenge Problem D-02,5,0,1
Challenge Problems D,Challenge Problem D-03,6,0,1
Challenge Problems D,Challenge Problem D-04,4,0,6
Challenge Problems D,Challenge Problem D-05,6,0,2
Challenge Problems D,Challenge Problem D-06,5,0,6
Challenge Problems D,Challenge Problem D-07,5,0,4
Challenge Problems D,Challenge Problem D-08,4,0,1
Challenge Problems D,Challenge Problem D-09,1,0,7
Challenge Problems D,Challenge Problem D-10,7,0,5
Challenge Problems D,Challenge Problem D-11,2,0,5
Challenge Problems D,Challenge Problem D-12,7,0,6
Challenge Problems E,Challenge Problem E-01,4,0,6
Challenge Problems E,Challenge Problem E-02,7,1,7
Challenge Problems E,Challenge Problem E-03,1,0,5
Challenge Problems E,Challenge Problem E-04,2,0,5
Challenge Problems E,Challenge Problem E-05,6,1,6
Challenge Problems E,Challenge Problem E-06,8,0,7
Challenge Problems E,Challenge Problem E-07,4,0,5
Challenge Problems E,Challenge Problem E-08,1,0,7
Challenge Problems E,Challenge Problem E-09,1,1,1
Challenge Problems E,Challenge Problem E-10,3,0,1
Challenge Problems E,Challenge Problem E-11,6,0,3
Challenge Problems E,Challenge Problem E-12,3,0,5
