ProblemSet,RavensProblem,Answer,Correct,Truth,Confidence,LatencySeconds,InputTokens,OutputTokens,ReasoningTokens,CostUSD,Rule,Error
Basic Problems B,Basic Problem B-01,2,1,2,1,30.31,2158,238,204,0.005552,"All three given cells contain identical filled squares, so the missing cell must match them exactly.",
Basic Problems B,Basic Problem B-02,5,1,5,0.95,14.6,2158,727,683,0.008486,"All three given cells contain identical figures, so the missing cell must match them as well (constant across both rows and both columns).",
Basic Problems B,Basic Problem B-03,1,1,1,0.95,46.74,2158,2342,2297,0.018176,"The second figure in each row is the left-right mirror image of the first, and the two figures in each column are identical.",
Basic Problems B,Basic Problem B-04,3,1,3,0.95,64.73,2158,3276,3217,0.023780,"Rows are left-right reflections and columns are up-down reflections of the same 3/4-circle (equivalently, the four axis-aligned orientations of a 270-degree sector).",
Basic Problems B,Basic Problem B-05,4,1,4,0.82,546.96,2158,25972,25927,0.159956,Each column's lower figure is the vertical reflection of the upper figure (right-sided triangle becomes left-sided square across each row).,
Basic Problems B,Basic Problem B-06,5,1,5,0.95,98.34,2158,4737,4697,0.032546,Right cells shade the lower triangle of the left cell; bottom cells are the vertical reflection of the top cells.,
Basic Problems B,Basic Problem B-07,6,1,6,0.85,556.82,2158,26633,26587,0.163922,Each row is a left-right reflection (fill unchanged); each column is an up-down reflection plus fill inversion (solid to outline).,
Basic Problems B,Basic Problem B-08,6,1,6,0.95,19.93,2158,1077,1025,0.010586,"Horizontally the shape changes from circle to square while the vertical half-shading stays identical; vertically there is no change, so the missing cell is identical to B.",
Basic Problems B,Basic Problem B-09,5,1,5,0.95,12.97,2158,736,688,0.008540,Rows keep the same shape while adding fill from left to right; columns keep the same fill while changing from octagon to square from top to bottom.,
Basic Problems B,Basic Problem B-10,3,1,3,0.95,14.89,2158,778,739,0.008408,Moving right replaces the inner circle with a square; moving down adds a small filled square at the center.,
Basic Problems B,Basic Problem B-11,1,1,1,0.95,15.67,2158,794,744,0.008888,"The outer shape is constant across each row (hearts on top, octagons on bottom) while the inner diamond is present only in the left column.",
Basic Problems B,Basic Problem B-12,5,0,1,0.9,213.25,2158,9990,9953,0.064064,The number of concentric circles decreases by 1 from left to right and from top to bottom.,
Basic Problems C,Basic Problem C-01,3,1,3,0.95,18.57,2467,957,913,0.010676,"Each row contains identical figures, with the number of nested squares increasing by one in each subsequent row (or equivalently down each column).",
Basic Problems C,Basic Problem C-02,4,1,4,0.65,230.37,2467,11558,11510,0.074090,"The outer square increases in size from left to right in each row and from top to bottom in each column, while the central filled square remains constant.",
Basic Problems C,Basic Problem C-03,4,1,4,0.9,202.69,2467,9773,9735,0.063380,The number of diamonds equals the product of the cell's row and column indices (1-based).,
Basic Problems C,Basic Problem C-04,8,1,8,0.95,78.1,2467,3966,3929,0.028154,"Cell (i,j) shows an i-by-j rectangular array of overlapping circles.",
Basic Problems C,Basic Problem C-05,3,1,3,0.95,60.29,2467,3381,3330,0.025028,"Dots are added clockwise along each row and counterclockwise down each column (always including the top vertex), so the missing cell has dots on all five points of the star.",
Basic Problems C,Basic Problem C-06,7,1,7,1,17.99,2467,1076,1022,0.011198,"Rectangle width increases by one unit across each row (left to right) while height increases by one unit down each column, producing a 3x3 square in the bottom-right cell.",
Basic Problems C,Basic Problem C-07,2,1,2,0.85,219.98,2467,10503,10442,0.067760,Each cell contains a diamond at its center plus a circle whose location inside the cell matches the cell's own location in the 3x3 matrix (circle omitted from the diamond only on coincidence at the very center).,
