ProblemSet,RavensProblem,Answer,Correct,Truth,AnswerNoTraining,CorrectNoTraining
Basic Problems B,Basic Problem B-01,2,1,2,2,1
Basic Problems B,Basic Problem B-02,5,1,5,5,1
Basic Problems B,Basic Problem B-03,1,1,1,1,1
Basic Problems B,Basic Problem B-04,3,1,3,3,1
Basic Problems B,Basic Problem B-05,4,1,4,4,1
Basic Problems B,Basic Problem B-06,6,0,5,5,1
Basic Problems B,Basic Problem B-07,6,1,6,6,1
Basic Problems B,Basic Problem B-08,6,1,6,6,1
Basic Problems B,Basic Problem B-09,4,0,5,5,1
Basic Problems B,Basic Problem B-10,5,0,3,5,0
Basic Problems B,Basic Problem B-11,1,1,1,2,0
Basic Problems B,Basic Problem B-12,5,0,1,5,0
Basic Problems C,Basic Problem C-01,3,1,3,3,1
Basic Problems C,Basic Problem C-02,4,1,4,4,1
Basic Problems C,Basic Problem C-03,4,1,4,5,0
Basic Problems C,Basic Problem C-04,8,1,8,8,1
Basic Problems C,Basic Problem C-05,3,1,3,1,0
Basic Problems C,Basic Problem C-06,7,1,7,7,1
Basic Problems C,Basic Problem C-07,2,1,2,2,1
Basic Problems C,Basic Problem C-08,5,1,5,1,0
Basic Problems C,Basic Problem C-09,4,0,2,6,0
Basic Problems C,Basic Problem C-10,7,1,7,3,0
Basic Problems C,Basic Problem C-11,4,1,4,4,1
Basic Problems C,Basic Problem C-12,5,0,8,7,0
Basic Problems D,Basic Problem D-01,3,1,3,3,1
Basic Problems D,Basic Problem D-02,1,1,1,1,1
Basic Problems D,Basic Problem D-03,4,0,3,3,1
Basic Problems D,Basic Problem D-04,1,1,1,1,1
Basic Problems D,Basic Problem D-05,7,1,7,7,1
Basic Problems D,Basic Problem D-06,1,1,1,6,0
Basic Problems D,Basic Problem D-07,1,1,1,4,0
Basic Problems D,Basic Problem D-08,4,1,4,1,0
Basic Problems D,Basic Problem D-09,3,1,3,7,0
Basic Problems D,Basic Problem D-10,1,1,1,2,0
Basic Problems D,Basic Problem D-11,3,1,3,3,1
Basic Problems D,Basic Problem D-12,1,0,3,3,1
Basic Problems E,Basic Problem E-01,1,1,1,5,0
Basic Problems E,Basic Problem E-02,3,0,7,7,1
Basic Problems E,Basic Problem E-03,3,0,2,2,1
Basic Problems E,Basic Problem E-04,8,1,8,8,1
Basic Problems E,Basic Problem E-05,5,1,5,5,1
Basic Problems E,Basic Problem E-06,8,1,8,6,0
Basic Problems E,Basic Problem E-07,4,0,3,3,1
Basic Problems E,Basic Problem E-08,1,1,1,1,1
Basic Problems E,Basic Problem E-09,7,1,7,7,1
Basic Problems E,Basic Problem E-10,8,1,8,8,1
Basic Problems E,Basic Problem E-11,5,1,5,5,1
Basic Problems E,Basic Problem E-12,6,1,6,1,0
Challenge Problems B,Challenge Problem B-01,6,1,6,6,1
Challenge Problems B,Challenge Problem B-02,3,0,1,1,1
Challenge Problems B,Challenge Problem B-03,2,0,3,2,0
Challenge Problems B,Challenge Problem B-04,2,0,4,2,0
Challenge Problems B,Challenge Problem B-05,1,0,6,3,0
Challenge Problems B,Challenge Problem B-06,6,0,3,6,0
Challenge Problems B,Challenge Problem B-07,2,0,6,6,1
Challenge Problems B,Challenge Problem B-08,6,0,4,2,0
Challenge Problems B,Challenge Problem B-09,1,0,4,4,1
Challenge Problems B,Challenge Problem B-10,4,1,4,4,1
Challenge Problems B,Challenge Problem B-11,5,1,5,5,1
Challenge Problems B,Challenge Problem B-12,1,1,1,1,1
Challenge Problems C,Challenge Problem C-01,7,1,7,7,1
Challenge Problems C,Challenge Problem C-02,7,1,7,2,0
Challenge Problems C,Challenge Problem C-03,3,1,3,3,1
Challenge Problems C,Challenge Problem C-04,8,1,8,3,0
Challenge Problems C,Challenge Problem C-05,3,0,4,8,0
Challenge Problems C,Challenge Problem C-06,7,1,7,7,1
Challenge Problems C,Challenge Problem C-07,3,1,3,3,1
Challenge Problems C,Challenge Problem C-08,2,0,1,2,0
Challenge Problems C,Challenge Problem C-09,8,0,7,2,0
Challenge Problems C,Challenge Problem C-10,1,0,3,1,0
Challenge Problems C,Challenge Problem C-11,4,1,4,7,0
Challenge Problems C,Challenge Problem C-12,2,1,2,1,0
Challenge Problems D,Challenge Problem D-01,1,0,2,3,0
Challenge Problems D,Challenge Problem D-02,1,1,1,1,1
Challenge Problems D,Challenge Problem D-03,6,0,1,1,1
Challenge Problems D,Challenge Problem D-04,6,1,6,2,0
Challenge Problems D,Challenge Problem D-05,6,0,2,6,0
Challenge Problems D,Challenge Problem D-06,6,1,6,6,1
Challenge Problems D,Challenge Problem D-07,6,0,4,5,0
Challenge Problems D,Challenge Problem D-08,5,0,1,1,1
