ProblemSet,RavensProblem,Answer,Correct,Truth,Confidence,LatencySeconds,InputTokens,OutputTokens,ReasoningTokens,CostUSD,Rule,Error
Basic Problems B,Basic Problem B-01,2,1,2,0.99,19.1,2643,470,418,0.014230,"All three given matrix cells contain the same filled black square, so the missing cell should also be the filled black square.",
Basic Problems B,Basic Problem B-02,5,1,5,0.98,37.35,2668,788,740,0.019824,"All three given cells are identical, showing a plus sign inside a circle, so the missing cell should be the same.",
Basic Problems B,Basic Problem B-03,1,1,1,0.99,32.31,2630,1725,1672,0.033592,"Across each row the filled right triangle is mirrored left-right, while down each column it remains unchanged, so the missing cell matches B.",
Basic Problems B,Basic Problem B-04,3,1,3,0.94,381.99,2643,10114,10128,0.151657,"Going right mirrors the figure left–right and going down mirrors it top–bottom, so the missing cell must be A flipped both ways, i.e. the circle with the upper-left quadrant removed.",
Basic Problems B,Basic Problem B-05,4,1,4,0.95,134.37,2668,3719,3658,0.063789,"Moving down a column reflects the figure vertically (A bottom-right triangle becomes C top-right triangle), so B's bottom-left square flips to a top-left square.",
Basic Problems B,Basic Problem B-06,5,1,5,0.95,113.85,2643,3390,3352,0.055840,"Moving down mirrors the diagonal horizontally, so mirroring B gives a backslash diagonal with the shaded triangle in the lower-left half.",
Basic Problems B,Basic Problem B-07,6,1,6,0.95,157.63,2668,4169,4083,0.070539,"Across each row the 3/4 circle is mirrored left-right (cut-out SE→SW, so NE→NW), while down each column it changes from solid to outline with the cut-out flipped vertically; the missing cell is the unfilled shape with the notch in the upper-left.",
Basic Problems B,Basic Problem B-08,6,1,6,0.95,124.22,2643,3231,3186,0.053574,"Across each row the outer shape changes from circle to square while the half-black/half-white arrangement is preserved (left white, right black).",
Basic Problems B,Basic Problem B-09,5,1,5,0.98,7.08,2630,303,248,0.012262,"Across each row the same shape changes from outline to filled, and down each column the shape changes from octagon to square while preserving fill state.",
Basic Problems B,Basic Problem B-10,3,1,3,0.96,8.75,2630,576,509,0.015839,"Across each row the inner concentric circle becomes an outlined square, and down each column a filled black square is added; so the missing cell has one circle containing an outlined square with a black square inside.",
Basic Problems B,Basic Problem B-11,1,1,1,0.99,4.5,2630,249,199,0.011452,"Across each row the inner black diamond is removed, while down each column the outer shape changes from heart to octagon.",
Basic Problems B,Basic Problem B-12,1,1,1,0.95,93.49,2630,5230,5171,0.086167,"Across the row the two outermost concentric circles are removed, and down the column the two innermost are removed, so applying both leaves only the middle circle.",
Basic Problems C,Basic Problem C-01,3,1,3,0.95,276.74,3078,7751,7714,0.119224,"Cells are identical within each row, and the number of nested squares increases by one down each column (row/column 1 = one square, row/column 2 = two nested squares, row/column 3 = three nested squares), so the missing cell must contain three nested squares matching G and H.",
Basic Problems C,Basic Problem C-02,4,1,4,0.97,199.56,3078,3213,3171,0.054558,"The outer square increases by one size step across each row and down each column while the filled inner square remains unchanged, so the missing cell is the largest outer square with the same filled center.",
Basic Problems C,Basic Problem C-03,4,1,4,0.92,298.54,3078,7627,7567,0.117457,"Each cell's diamond count equals its row number times its column number (1/2/3 across × 1/2/3 down), so the missing r3c3 cell needs 3×3 = 9 diamonds; option 4 has nine diamonds (option 6 is a distractor with unrotated squares).",
Basic Problems C,Basic Problem C-04,8,1,8,0.97,145.35,3058,7398,7330,0.119971,"Across each row the side-by-side circles increase 1→2→3 while down each column the stacked circles increase 1→2→3, so the missing cell must combine three across with three down.",
Basic Problems C,Basic Problem C-05,3,1,3,0.97,75.97,3078,1394,1320,0.028637,"Each step right adds a dot to the next star tip (upper-right then lower-right), and each step down adds a dot (upper-left then lower-left), so the missing cell must contain the star with all five tips dotted.",
Basic Problems C,Basic Problem C-06,7,1,7,0.97,94.36,3078,1449,1365,0.029421,"Across each row the black rectangle's width steps 1, 2, 3 units while its height stays fixed, and down each column the height steps 1, 2, 3 units; the missing bottom-right cell must be the 3-by-3 large square.",
Basic Problems C,Basic Problem C-07,2,1,2,0.95,125.01,3078,2977,2896,0.051195,"In each row the circle shifts around the diamond by one step (top row: upper-left → above → upper-right; bottom row: lower-left → below → lower-right; columns likewise advance downward), so the missing cell needs the diamond above-left with the circle to its lower-right.",
Basic Problems C,Basic Problem C-08,3,0,5,0.78,582.5,3078,17565,17603,0.259074,"The matrix is symmetric under transposition with the inner 2x2 reflected across its own main diagonal (top-right swaps with bottom-left); the diagonal cells fill progressively, so the missing cell has off-diagonal subcells black and main-diagonal subcells white.",
