ProblemSet,RavensProblem,Answer,Correct,Truth,Confidence,LatencySeconds,InputTokens,OutputTokens,ReasoningTokens,CostUSD,Rule,Error
Basic Problems B,Basic Problem B-01,2,1,2,0.98,4.98,2644,48,0,0.028840,"All cells contain the same black square, so the missing cell is also a black square.",
Basic Problems B,Basic Problem B-02,5,1,5,0.98,4.79,2644,51,0,0.028990,"All cells are identical (circle with plus), so the missing cell is the same figure.",
Basic Problems B,Basic Problem B-03,1,1,1,0.95,6.8,2644,108,43,0.031840,"Each row shows the triangle mirrored horizontally, so the missing cell is the left-right reflection of C, matching B.",
Basic Problems B,Basic Problem B-04,3,1,3,0.95,7.74,2644,158,80,0.034340,"The pac-man circle's missing quadrant is mirrored left-right across the row (and top-bottom down the column), so the answer lacks the top-left quadrant.",
Basic Problems B,Basic Problem B-05,4,1,4,0.9,8.99,2644,288,214,0.040840,"Each row keeps the shape type while the column transformation reflects the figure vertically (bottom position moves to top), so the square in B flips to the top-left.",
Basic Problems B,Basic Problem B-06,5,1,5,0.95,9.95,2644,140,75,0.033440,"Across each row the lower half beneath the diagonal becomes filled black, while the diagonal direction stays the same down each column.",
Basic Problems B,Basic Problem B-07,6,1,6,0.85,14.89,2644,773,692,0.065090,Each row reflects the shape horizontally (notch flips left-right) while column changes fill; C's unfilled top-right notch reflects to an unfilled top-left notch.,
Basic Problems B,Basic Problem B-08,6,1,6,0.97,6.22,2644,68,0,0.029840,"Circle becomes square across the row while keeping the left-white/right-black half shading, so the answer is a square with white left half and black right half.",
Basic Problems B,Basic Problem B-09,5,1,5,0.97,4.72,2644,57,0,0.029290,"Rows keep the shape and change fill from unfilled to filled, so the answer is a filled square.",
Basic Problems B,Basic Problem B-10,3,1,3,0.9,5.81,2644,124,46,0.032640,"Rows replace the inner circle with a square outline, and the bottom row adds a filled black square inside, so the answer is a single circle containing a square with a black square inside.",
Basic Problems B,Basic Problem B-11,1,1,1,0.97,5.09,2644,61,0,0.029490,"Rows remove the inner diamond; columns keep the same outer shape, so the answer is an empty octagon.",
Basic Problems B,Basic Problem B-12,1,1,1,0.85,16.33,2644,744,684,0.063640,"Each step removes two concentric circles (rows also shrink the figure), so the missing cell is a single circle.",
Basic Problems C,Basic Problem C-01,3,1,3,0.97,5.55,3056,61,0,0.033610,"Each row has a constant number of nested squares (1, 2, 3), so the missing cell is three nested squares.",
Basic Problems C,Basic Problem C-02,4,1,4,0.95,6.71,3056,107,33,0.035910,"The outer square grows by a constant amount across each row and down each column while the small filled square stays constant, so the answer is the largest outer square with the black square inside.",
Basic Problems C,Basic Problem C-03,4,1,4,0.9,10.49,3056,423,337,0.051710,"Each row multiplies the diamond count (1,2,3 across columns times row number), so the missing cell has 3×3 = 9 diamonds in a diagonal lattice arrangement.",
Basic Problems C,Basic Problem C-04,8,1,8,0.95,9.68,3056,332,247,0.047160,"Each column adds a horizontal circle and each row adds a vertical circle, so the missing cell is the union of 3 horizontally overlapping and 3 vertically overlapping circles.",
Basic Problems C,Basic Problem C-05,3,1,3,0.97,10.2,3056,227,142,0.041910,"Dots accumulate on the star's points: each row adds a right dot then a bottom-right dot to the row's base, and each row starts with one more dot, giving all five dots in the final cell.",
Basic Problems C,Basic Problem C-06,7,1,7,0.95,7.85,3056,133,68,0.037210,"Rectangle width grows across each row and height grows down each column, so the missing cell is the widest and tallest black rectangle.",
Basic Problems C,Basic Problem C-07,2,1,2,0.9,9.49,3056,349,268,0.048010,"The diamond stays in the middle while the circle shifts from left to center to right (here along the bottom), so the answer shows the diamond center-left with the circle at bottom-right.",
Basic Problems C,Basic Problem C-08,5,1,5,0.9,19.0,3056,450,385,0.053060,"Across each row and column the number of black squares decreases by two while total squares stay four, so the last cell has four unfilled squares.",
Basic Problems C,Basic Problem C-09,2,1,2,0.85,10.13,3056,298,234,0.045460,"In each row the two shapes face inward, then overlap, then face outward/apart; row 3's stars must face away from each other.",
Basic Problems C,Basic Problem C-10,7,1,7,0.95,8.67,3056,176,92,0.039360,"Rows spread shapes horizontally (single, overlapping, separated) while columns duplicate them vertically, giving four fully separated diamonds in a 2x2 arrangement.",
Basic Problems C,Basic Problem C-11,4,1,4,0.97,6.45,3056,121,45,0.036610,"Along each row a bottom-row dot is added while the vertical column shrinks by one row down the matrix, so the missing cell has three dots along the bottom only.",
Basic Problems C,Basic Problem C-12,8,1,8,0.9,32.54,3056,2017,1923,0.131410,"The black region grows: the top row fills with black left-to-right across columns and the left column fills bottom-to-top down rows, so the bottom-right cell has a full black top row and left column with the 2x2 center-right white.",
Basic Problems D,Basic Problem D-01,3,1,3,0.98,7.38,3056,51,0,0.033110,"Each row repeats the same shape, so the third row completes with an outline octagon.",
Basic Problems D,Basic Problem D-02,1,1,1,0.98,6.88,3056,109,51,0.036010,"Latin square: each row and column contains circle, diamond, and triangle exactly once, all solid black.",
Basic Problems D,Basic Problem D-03,3,1,3,0.97,7.5,3056,162,87,0.038660,"Each row and column contains one cell with a circle only, one with triangle+circle, and one with triangle+circle+square, so the missing cell is a single circle.",
Basic Problems D,Basic Problem D-04,1,1,1,0.98,6.65,3056,77,0,0.034410,"Each row keeps the same inner shape (cross, star, heart) while the outer frame goes circle, diamond, square; the missing cell is a heart in a square.",
Basic Problems D,Basic Problem D-05,7,1,7,0.97,8.08,3056,99,33,0.035510,"Each row keeps its shape (square, diamond, octagon); the third column shows the solid filled shape with a dot above and below.",
Basic Problems D,Basic Problem D-06,1,1,1,0.98,6.04,3056,164,78,0.038760,"Each row contains circle, cross, and triangle (Latin square) while the number of nested squares decreases from 3 to 1 down the rows, so the missing cell is a circle in a single square.",
Basic Problems D,Basic Problem D-07,1,1,1,0.97,8.89,3056,296,212,0.045360,"Each row/column contains each inner shape (cross, square, heart) once with each surround type (dots, circle, same-shape outline) once; missing cell is a square surrounded by dots.",
Basic Problems D,Basic Problem D-08,4,1,4,0.97,7.78,3056,273,191,0.044210,"Each row and column contains square, diamond, and circle in three styles (filled, outline, filled-with-outline) as a Latin square; missing cell is a plain filled diamond.",
Basic Problems D,Basic Problem D-09,3,1,3,0.98,7.16,3056,199,112,0.040510,"Each row and column contains circle/octagon/square shapes and vertical/horizontal/cross bars exactly once (Latin square), so the missing cell is an octagon with a vertical bar.",
Basic Problems D,Basic Problem D-10,1,1,1,0.98,8.87,3056,176,88,0.039360,"Each row/column contains each central shape (square, diamond, circle) once combined with each surround type (small squares, diagonal lines, plus lines) once; missing cell is square with diagonal lines.",
Basic Problems D,Basic Problem D-11,3,1,3,0.97,7.22,3056,170,88,0.039060,"Each row and column contains one fully black star, one star with a white pentagon center, and one outline star with a black pentagon center (Latin square), so the missing cell is the fully black star.",
Basic Problems D,Basic Problem D-12,3,1,3,0.97,9.01,3056,239,166,0.042510,"Each row and column contains squares, triangles and stars once each with counts 3, 4, 5 once each; the missing cell needs 3 triangles.",
Basic Problems E,Basic Problem E-01,1,1,1,0.95,11.28,3056,251,190,0.043110,"Each third cell is the pixel union of the first two, so G∪H gives all four outward-pointing triangles.",
Basic Problems E,Basic Problem E-02,7,1,7,0.97,9.99,3056,262,195,0.043660,"Each third cell is the union of the first two cells in both rows and columns, so the missing cell combines plus, square, X, and circle.",
Basic Problems E,Basic Problem E-03,2,1,2,0.85,10.1,3056,423,363,0.051710,"Each row's third cell is the pixel union of the first two cells' dots, forming a ring of diamonds.",
Basic Problems E,Basic Problem E-04,8,1,8,0.9,14.56,3056,622,567,0.061660,The third cell in each row is the first cell with the second cell's black region removed (pixel difference).,
Basic Problems E,Basic Problem E-05,5,1,5,0.95,20.7,3056,277,213,0.044410,"The third cell is the pixel difference of the first two (first minus second), so square+circle minus circle leaves an empty square.",
