ProblemSet,RavensProblem,Answer,Correct,Truth,Confidence,LatencySeconds,InputTokens,OutputTokens,ReasoningTokens,CostUSD,Rule,Error
Basic Problems B,Basic Problem B-01,2,1,2,1,5.04,3378,24,0,0.000000,All cells contain a solid black square.,
Basic Problems B,Basic Problem B-02,5,1,5,1,9.56,3378,28,0,0.000000,The shape within the circle remains the same across all cells.,
Basic Problems B,Basic Problem B-03,4,0,1,0.95,8.91,3378,34,0,0.000000,The shapes rotate 180 degrees going from the top row to the bottom row.,
Basic Problems B,Basic Problem B-04,4,0,3,1,8.09,3378,35,0,0.000000,Each shape rotates 90 degrees clockwise from the left cell to the right cell in each row.,
Basic Problems B,Basic Problem B-05,4,1,4,0.95,8.69,3378,53,0,0.000000,"The black area in each cell is the rotated version of the white area in the preceding cell, with a diagonal flip from top left to bottom right forming a solid black square.",
Basic Problems B,Basic Problem B-06,6,0,5,1,6.11,3378,43,0,0.000000,A white diagonal line exists at the start of both rows which flips and becomes filled black in the second cell.,
Basic Problems B,Basic Problem B-07,6,1,6,0.95,9.11,3378,36,0,0.000000,Shapes rotate 90 degrees clockwise and toggle between filled and unfilled going right and down.,
Basic Problems B,Basic Problem B-08,6,1,6,1,4.84,3378,29,0,0.000000,Shapes toggle between a circle split vertically and a rectangle split vertically.,
Basic Problems B,Basic Problem B-09,5,1,5,0.95,4.32,3378,34,0,0.000000,Shapes are filled in when moving from left to right and from top to bottom.,
Basic Problems B,Basic Problem B-10,3,1,3,0.9,7.95,3378,36,0,0.000000,The inner shape toggles between two variants within an outer circle.,
Basic Problems B,Basic Problem B-11,3,0,1,0.95,7.2,3378,49,0,0.000000,"Shapes transition from having an internal diamond to without in each row, and shapes switch between heart and octagon line structures in columns.",
Basic Problems B,Basic Problem B-12,5,0,1,0.95,6.49,3378,48,0,0.000000,The number of concentric rings decreases by two as you move from left to right and from top to bottom in the matrix.,
Basic Problems C,Basic Problem C-01,1,0,3,1,7.29,5192,28,0,0.000000,Each row adds one more square layer around the central square.,
Basic Problems C,Basic Problem C-02,4,1,4,1,7.97,5192,48,0,0.000000,"In each row, the black square moves to the center of the larger square progressively from the top edge, middle, to the bottom.",
Basic Problems C,Basic Problem C-03,4,1,4,0.95,7.42,5192,36,0,0.000000,"Each row adds another diamond positioned diagonally, increasing the total by one in subsequent cells.",
Basic Problems C,Basic Problem C-04,4,0,8,0.95,6.83,5192,40,0,0.000000,"Each row adds another ring intersecting from the center, forming progressively more complex shapes.",
Basic Problems C,Basic Problem C-05,3,1,3,1,7.45,5192,43,0,0.000000,The number of circles placed around the star increases by one in a clockwise direction from each cell to the next in every row and column.,
Basic Problems C,Basic Problem C-06,7,1,7,0.95,9.06,5192,37,0,0.000000,"Each row features a geometric shape starting from a smaller form, which progressively stretches horizontally or vertically.",
Basic Problems C,Basic Problem C-07,2,1,2,0.95,7.21,5192,46,0,0.000000,The objects within the cells of each row remain the same but swap positions from left-to-right and right-to-left.,
Basic Problems C,Basic Problem C-08,7,0,5,0.95,8.12,5192,55,0,0.000000,"In each row, the first cell contains squares, the second cell one fewer than the first, and the third cell contains empty squares equivalent to the first cell.",
Basic Problems C,Basic Problem C-09,1,0,2,0.95,5.58,5192,43,0,0.000000,"Each row shows shapes transforming to a composite image where the individual parts merge centrally and rotate to form a condensed, central representation.",
Basic Problems C,Basic Problem C-10,7,1,7,0.95,8.14,5192,35,0,0.000000,"Each figure is split vertically, gradually increasing the number of parts from one to many.",
Basic Problems C,Basic Problem C-11,4,1,4,0.95,7.2,5192,37,0,0.000000,"Each row adds one more diamond diagonally down to the right, starting from the top left.",
