ProblemSet,RavensProblem,Answer,Correct,Truth,Confidence,LatencySeconds,InputTokens,OutputTokens,ReasoningTokens,CostUSD,Rule,Error
Basic Problems B,Basic Problem B-01,2,1,2,1.0,4.29,11186,195,158,0.024712,The figure remains a solid black square across all cells in the matrix.,
Basic Problems B,Basic Problem B-02,5,1,5,1.0,5.84,11186,312,279,0.026116,All cells in the matrix contain the identical figure.,
Basic Problems B,Basic Problem B-03,1,1,1,1.0,8.5,11186,483,429,0.028168,"The figure in the second column is a horizontal reflection of the figure in the first column, or alternatively, the second row is identical to the first row.",
Basic Problems B,Basic Problem B-04,3,1,3,1.0,7.39,11186,684,639,0.030580,The figure is mirrored horizontally across the rows and vertically down the columns.,
Basic Problems B,Basic Problem B-05,4,1,4,1.0,15.32,11186,1765,1708,0.043552,"Across each row, the shape changes from a triangle on the right to a square on the left; down each column, the shape moves from the bottom to the top.",
Basic Problems B,Basic Problem B-06,-1,0,5,,4.02,0,0,0,0.000000,,unparseable: producingproducingproducingproducingproducingproducingproducingproducingproducingproducingproducingproducingproducingpro
Basic Problems B,Basic Problem B-07,5,0,6,1.0,9.51,11186,584,530,0.029380,"Across each row, the missing quadrant of the shape is reflected horizontally, and down each column, the shape changes from a solid black fill to an outline.",
Basic Problems B,Basic Problem B-08,6,1,6,1.0,7.29,11186,481,412,0.028144,"The figure in the second column takes the same fill pattern as the first column but changes its shape from a circle to a square; additionally, the second row is identical to the first row.",
Basic Problems B,Basic Problem B-09,5,1,5,1.0,5.01,11186,290,248,0.025852,The figure in the second column is the filled version of the outlined figure in the first column.,
Basic Problems B,Basic Problem B-10,3,1,3,1,10.68,11186,1060,1007,0.035092,"From left to right, the inner circle is replaced by a large hollow square; from top to bottom, a small solid black square is added to the center.",
Basic Problems B,Basic Problem B-11,1,1,1,1.0,6.17,11186,312,255,0.026116,"The inner shape (black diamond) is removed when moving from left to right, while the outer shape remains the same across rows and changes from heart to octagon down columns.",
Basic Problems B,Basic Problem B-12,1,1,1,1.0,10.34,11186,1010,947,0.034492,"Across each row, the two outermost circles are removed; down each column, the two innermost circles are removed, leaving only the middle circle in the final cell.",
Basic Problems C,Basic Problem C-01,3,1,3,1.0,14.28,18838,1345,1295,0.053816,"In each row, the figures are identical. In each column, a new concentric square is added to the outside of the previous figure.",
Basic Problems C,Basic Problem C-02,4,1,4,1.0,14.48,18838,1427,1366,0.054800,"The outer square outline increases in size by a constant amount from left to right across each row and from top to bottom down each column, with all figures maintaining the same small black center square.",
Basic Problems C,Basic Problem C-03,4,1,4,1.0,11.98,18838,1006,928,0.049748,"The number of diamonds in each cell is the product of its row index and column index (or simply increases by the row number across each column), so the third row and third column requires 3 x 3 = 9 diamonds.",
Basic Problems C,Basic Problem C-04,8,1,8,1.0,10.61,18838,1006,952,0.049748,"The number of overlapping circles increases by one horizontally across each column and by one vertically down each row, forming an (x, y) grid of circles.",
Basic Problems C,Basic Problem C-05,3,1,3,1.0,13.5,18838,1331,1258,0.053648,"Across each row, a dot is added to the right point then the bottom-right point; down each column, a dot is added to the left point then the bottom-left point, resulting in all five points having dots in the final cell.",
Basic Problems C,Basic Problem C-06,7,1,7,1.0,11.33,18838,1194,1142,0.052004,"The width of the shape increases across the columns, and the height of the shape increases down the rows, making the missing cell a large square.",
Basic Problems C,Basic Problem C-07,2,1,2,1,9.66,18838,904,842,0.048524,"A black circle moves across a 3x3 grid of positions corresponding to the matrix cells, while a black diamond remains stationary in the center (hidden when the circle overlaps it in the center cell).",
Basic Problems C,Basic Problem C-08,5,1,5,1.0,51.28,18838,7125,7053,0.123176,"Each of the four quadrant positions independently cycles through the sequence of states 'empty, empty, black, black, white (outlined), white (outlined)' as you move across the rows and columns, resulting in the final cell having four white squares.",
Basic Problems C,Basic Problem C-09,2,1,2,1.0,118.31,18838,14697,14634,0.214040,"In each row, the first cell contains two shapes. The second cell overlaps them by translating them towards the center. The third cell swaps the positions of the left and right shapes from the first cell.",
Basic Problems C,Basic Problem C-10,7,1,7,1,20.57,18838,2242,2171,0.064580,"The figures duplicate the base diamond horizontally across the columns (touching in column 2, separated by a gap in column 3) and vertically down the rows (touching in row 2, separated by a gap in row 3).",
Basic Problems C,Basic Problem C-11,4,1,4,1,13.36,18838,1283,1230,0.053072,"Moving across each row, a diamond is added to the left in the bottom row; moving down each column, the topmost diamond in the right column is removed.",
Basic Problems C,Basic Problem C-12,7,0,8,0.99,125.75,18838,18559,18480,0.260384,"Moving right across columns toggles the top-middle then top-left squares, and moving down rows toggles the middle-left then top-left squares; the top-left square is toggled twice in the final cell, canceling it out (XOR logic).",
Basic Problems D,Basic Problem D-01,3,1,3,1.0,6.48,18838,447,416,0.043040,The figure remains identical across each row.,
Basic Problems D,Basic Problem D-02,1,1,1,1,6.27,18838,495,454,0.043616,"Each row and column contains a black circle, a black diamond, and a black triangle exactly once.",
Basic Problems D,Basic Problem D-03,3,1,3,1.0,9.94,18838,918,860,0.048692,"Each row and column contains exactly one instance of a circle, a triangle and circle, and all three shapes (triangle, circle, and square), following a Latin square pattern.",
